booking_id,hotel_id,cust_id,Booking Date,checkin_date,checkout_date,Room_Nights,Num Rooms,Room_Category,Meal_Plan,Booking_Channel,Booking Price(INR),Discount_Applied(%),Net_Amount_Paid(INR),Payment Status,Cancellation Flag,Refund_Amount(INR),Lead_Time_Days,Post_Stay_Rating
BKG000001,HTL0021,CUST00272,2024-04-30,2024-04-30,2024-05-03,3,2.0,Premium,Full Board,App,102735.79,0.0,102735.79,Success,no,0.0,0.0,
BKG000002,HTL0017,CUST02661,2024-08-21,2024-09-04,2024-09-09,5,1.0,Standard,Room Only,App,43749.47,5.0,41562.0,,1,32891.79,,
BKG000003,HTL0039,CUST03097,07/03/2024,2024-03-19,2024-03-22,3,3.0,Deluxe,Breakfast Included,,96833.21,0.0,96833.21,SUCCESS,FALSE,0.0,,
BKG000004,HTL0049,CUST00999,2025-06-21,2025-06-24,2025-06-29,5,1.0,Suite,Room Only,WEBSITE,91645.46,20.0,73316.37,success,no,0.0,,
BKG000005,HTL0146,CUST04954,2024-10-18,2024-11-02,2024-11-04,2,2.0,Premium,Half Board,Website,83383.13,0.0,83383.13,Failed,No,0.0,,4.0
BKG000006,HTL0207,CUST04588,2026-05-10,2026-05-17,2026-05-18,1,1.0,Suite,Room Only,Website,20390.69,0.0,20390.69,SUCCESS,0,0.0,,
BKG000007,HTL0054,CUST04544,2026-02-13,2026-02-17,2026-02-18,1,1.0,Standard,Room Only,App,13324.67,15.0,11325.97,failed,No,0.0,4.0,3.0
BKG000008,HTL0058,CUST01573,2024-02-15,2024-03-26,2024-03-31,5,1.0,Standard,Breakfast Included,app,38091.8,0.0,38091.8,Success,yes,32896.85,,
BKG000009,HTL0214,CUST01008,2024-12-11,2024-12-19,2024-12-21,2,1.0,Standard,Half Board,Travel Agent,15691.98,5.0,14907.38,success,N,0.0,,2.0
BKG000010,HTL0226,CUST04012,2025-09-05,2025-09-18,2025-09-19,1,2.0,Standard,Full Board,App,22896.39,0.0,22896.39,success,yes,14828.37,,
BKG000011,HTL0212,CUST05701,03/10/2025,2025-10-04,2025-10-05,1,1.0,Standard,Breakfast Included,App,14030.48,10.0,12627.43,Success,no,0.0,,3.0
BKG000012,HTL0201,CUST02645,24/11/2024,2024-11-28,2024-11-29,1,2.0,Standard,Room Only,App,12889.64,0.0,12889.64,success,0,0.0,4.0,
BKG000013,HTL0036,CUST03838,16/12/2025,2026-01-18,2026-01-19,1,1.0,Suite,Room Only,app,9301.97,,8371.77,Failed,no,0.0,,5.0
BKG000014,HTL0045,CUST03525,2026-07-15,2026-07-22,2026-07-24,2,,Standard,Room Only,Website,13323.81,0.0,13323.81,SUCCESS,0,0.0,,3.0
BKG000015,HTL0166,CUST00686,2026-06-10,2026-07-15,2026-07-16,1,2.0,Premium,Room Only,Website,22618.81,10.0,20356.93,Refunded,0,0.0,35.0,3.0
BKG000016,HTL0271,CUST03199,2024-03-13,2024-03-20,2024-03-23,3,3.0,Suite,Room Only,App,200385.35,0.0,200385.35,Failed,no,0.0,7.0,4.0
BKG000017,HTL0095,CUST01259,2025-08-20,2025-08-28,2025-08-29,1,1.0,Premium,Breakfast Included,Website,13390.25,0.0,13390.25,Success,N,0.0,8.0,5.0
BKG000018,HTL0014,CUST00303,14/12/2025,2025-12-19,2025-12-20,1,1.0,Suite,Half Board,app,21334.03,10.0,19200.63,Refunded,no,0.0,5.0,4.0
BKG000019,HTL0260,CUST04359,02/09/2024,2024-09-11,2024-09-19,8,3.0,Premium,Breakfast Included,Website,290891.44,0.0,290891.44,Success,N,0.0,,4.0
BKG000020,HTL0056,CUST04713,2024-04-27,2024-05-03,2024-05-04,1,1.0,Standard,Room Only,Website,14990.5,10.0,13491.45,Refunded,No,0.0,,
BKG000021,HTL0095,CUST01548,2025-06-14,2025-06-25,2025-06-26,1,2.0,Deluxe,Full Board,,24463.63,10.0,22017.27,SUCCESS,FALSE,0.0,11.0,
