hotel_id,Search_Date,Stay Date,Device,Search_Rank_Position,Click_Flag,Price Shown(INR),Competitor Avg Price,Occupancy Rate(%),Conversion_Flag
HTL0180,2024-11-27,2024-12-21,iOS App,1.0,0,4414.49,,69.3,0
HTL0011,2023-12-23,2024-01-09,,1.0,1,4744.03,,49.7,0
HTL0259,2023-11-12,2023-12-03,IOS APP,3.0,1,8232.56,7336.38,44.0,0
HTL0178,2024-05-15,2024-05-29,android app,4.0,0,10459.94,11844.79,,0
HTL0067,2025-12-08,2026-02-03,Desktop Web,10.0,0,11901.94,12338.52,44.0,0
HTL0132,2025-03-22,2025-03-22,Mobile Web,1.0,0,9265.72,8263.07,39.8,0
HTL0282,2024-10-16,2024-10-27,android app,5.0,0,8965.44,,77.2,0
HTL0064,2025-08-11,2025-09-10,,1.0,1,10000.24,10311.82,,0
HTL0086,2025-02-18,2025-04-03,,13.0,0,9260.9,,56.2,0
HTL0090,2026-05-06,2026-05-06,Desktop Web,1.0,1,10492.03,9473.19,50.1,0
HTL0113,2024-05-23,2024-06-10,Mobile Web,1.0,0,5680.68,6970.35,30.1,0
HTL0291,2025-05-10,2025-05-10,,7.0,0,7005.91,6702.98,60.0,0
HTL0242,2026-03-31,2026-04-16,IOS APP,4.0,0,13227.09,,,0
HTL0064,2026-02-17,2026-02-23,iOS App,1.0,1,9392.65,10218.85,66.8,0
HTL0217,2026-03-01,2026-03-07,iOS App,12.0,1,6390.64,,70.7,0
HTL0175,2025-02-21,2025-02-25,Desktop Web,2.0,0,10596.05,10077.6,31.7,0
HTL0079,2026-03-11,2026-03-17,,13.0,0,5531.82,,69.0,0
HTL0204,2023-11-25,2023-12-25,IOS APP,14.0,0,8557.69,,65.8,0
HTL0164,2026-08-14,2026-08-16,Desktop Web,,1,10142.35,,54.2,0
HTL0122,2026-06-30,2026-07-10,Desktop Web,1.0,1,3453.33,3812.37,61.8,1
HTL0163,2025-08-09,2025-08-09,Mobile Web,9.0,0,7764.56,7555.91,62.4,0
HTL0265,2025-03-23,2025-04-06,Android App,8.0,1,8014.48,7883.48,65.9,1
HTL0034,2026-05-05,2026-05-07,iOS App,,0,8977.31,,78.4,0
HTL0238,2026-02-08,2026-04-14,,3.0,1,6082.22,5962.54,52.9,0
HTL0118,2023-10-12,2023-10-12,iOS App,18.0,1,8341.54,,38.0,1
HTL0144,2023-12-20,2023-12-27,,10.0,1,11941.95,,84.2,0
HTL0219,2024-10-10,2024-10-31,Desktop Web,1.0,0,9438.74,,,0
HTL0156,2024-04-23,2024-05-02,Mobile Web,13.0,1,9638.62,,60.7,1
HTL0163,2024-11-21,2024-11-22,android app,1.0,0,6857.55,,31.8,0
HTL0141,2024-09-26,2024-09-29,Desktop Web,7.0,0,14317.14,,,0
HTL0079,2024-05-21,2024-06-20,Desktop Web,5.0,0,4615.42,,78.1,0
HTL0204,2026-03-23,2026-03-27,IOS APP,12.0,0,9695.74,9642.69,,0
HTL0121,2026-01-29,2026-03-25,Android App,15.0,0,7803.36,,,0
HTL0222,2026-02-27,2026-03-03,Mobile Web,1.0,1,9407.65,7433.75,77.6,0
HTL0075,2025-11-19,2025-11-26,,1.0,0,11217.74,,,0
HTL0043,2025-01-30,2025-02-10,,7.0,1,3362.6,,,0
HTL0295,2024-12-02,2024-12-07,Mobile Web,16.0,0,10878.68,,,0
HTL0249,2024-07-27,2024-07-27,Android App,19.0,0,4783.18,,70.5,0
HTL0241,2026-06-24,2026-07-28,,1.0,1,7464.23,,75.8,0
HTL0212,2024-12-26,2025-01-24,iOS App,3.0,0,12065.71,15593.42,,0
HTL0091,2026-07-08,2026-07-11,,1.0,1,10993.68,,27.6,0
